
emd_4pre1window24datalen5904eph50,vmd
site,predict_hour,score_nwp,score_pre,score_up,score_bw_nwp,score_bw_pre,score_bw_up
site0/,2,1.7208866749154261,0.7001942697088971,0.5931200584470163,3.068426205802983,0.9760243878757074,0.6819136839498184
site0/,3,1.7209240680790756,0.744058679589305,0.5676400293361951,3.0717704990322052,1.0654305266631376,0.6531542551766764
site0/,4,1.7202936067511843,0.7781987687651405,0.5476360746147354,3.0735193933360296,1.0639166643806968,0.653844167475413
site0/,5,1.7206595683157706,0.7725413747157724,0.5510202082147153,3.0735193933360296,1.010921267065171,0.6710867452936724
site0/,6,1.720827628632446,0.7841433163921935,0.5443219859182772,3.0772107017508183,1.0505897886422315,0.6585902330170356
site0/,7,1.7212640635232217,0.8187705670751019,0.5243201874562021,3.0772107017508183,1.2097920075872586,0.6068543480305291
site0/,8,1.721859082767525,0.8628498915680689,0.4988847227955381,3.0772107017508183,1.2972270993166686,0.5784405992808375
site0/,9,1.7223905566195215,0.9294457321597634,0.460374577306116,3.0772107017508183,1.2303109688491343,0.6001863089358381
site0/,10,1.7224842961861937,0.9167651138037672,0.4677657637671324,3.0807372399272133,1.3864027925979392,0.5499769423273843
site0/,11,1.7231027604031537,0.9088731488683929,0.4725368853476016,3.0807372399272133,1.2202079562099284,0.6039233919739427
site0/,12,1.723705370269816,0.879867570514314,0.4895487444141419,3.0807372399272133,1.2845181907414083,0.5830484424008336
site0/,13,1.7243199564966933,0.8832199034347753,0.4877865328258358,3.0807372399272133,1.2534441705572366,0.593134995639274
site0/,14,1.724919693147278,0.8639768326907268,0.4991205468155333,3.0807372399272133,1.2030400828329495,0.6094960429467289
site0/,15,1.7255450236272525,0.9023402160311107,0.47706944549362756,3.0807372399272133,1.3074288720501304,0.5756116895964096
site0/,16,1.7261586919493919,0.9893796041818893,0.42683160662096514,3.0807372399272133,1.5089633482974751,0.5101940766836945
site0/,17,1.7267858012910267,1.0378896647927318,0.3989470703217756,3.0807372399272133,1.3898617224900927,0.5488541818896148
site0/,18,1.7274003131106415,1.138278742822152,0.3410451913300978,3.0807372399272133,1.8302606351178945,0.40590173955856845
site0/,19,1.7279794082646598,1.223834606437189,0.2917539407103023,3.0807372399272133,1.8355092299896165,0.4041980581138484
site0/,20,1.7286045949308602,1.2985768469485066,0.24877160991207106,3.0807372399272133,1.9910740751533587,0.353702078402376
site0/,21,1.7290721204804953,1.3185592838885873,0.23741799531058874,3.0807372399272133,2.0790984663037655,0.32512956984514296
site0/,22,1.7296014936086104,1.2990643049919943,0.2489227664335273,3.0807372399272133,1.9441876817143289,0.36892129048945993
site0/,23,1.7302324624451606,1.3212346575377634,0.2363831530067367,3.0807372399272133,2.034641896449975,0.3395600669604506
emd_4pre1window24datalen5904eph50,vmd
site,predict_hour,score_nwp,score_pre,score_up,score_bw_nwp,score_bw_pre,score_bw_up
site1/,1,1.4464893659389864,0.5944189519506253,0.5890609596256802,2.5003117246438853,0.8498893539556385,0.6600866421659137
site1/,2,1.44692901341264,0.6600886654539931,0.5438002422128867,2.5003117246438853,0.9448821609433635,0.6220942566359635
site1/,3,1.4465537766392864,0.701344439595215,0.5151618619913204,2.502014324833214,0.9962060603236408,0.6018383866007448
site1/,4,1.4469252140510407,0.7089166109682878,0.5100530393112075,2.502014324833214,0.9993260317812014,0.6005914027499355
site1/,5,1.4473652842097857,0.6961951279376848,0.5189914145842011,2.502014324833214,0.9723804190009377,0.611360970498937
site1/,6,1.4470807860496133,0.699855833875473,0.516367129864249,2.503962360171854,0.9678994413351975,0.6134528790325875
site1/,7,1.447601757103988,0.7172881893044493,0.5044989509135259,2.503962360171854,1.0191396494663727,0.5929892295200371
site1/,8,1.448113676374927,0.7709509441933781,0.46761710991964045,2.503962360171854,1.110902620993982,0.5563421245206986
site1/,9,1.44764207309924,0.7918279174079369,0.45302230978081365,2.505437087906014,1.0612398977888433,0.5764252461530364
site1/,10,1.446557040628881,0.800170479431741,0.44684484817558784,2.50533245127729,1.2075038342780293,0.5180265063575058
site1/,11,1.4461016363135448,0.7892410151925097,0.45422853043409056,2.5068685169236704,1.0342678072149982,0.5874263846576961
site1/,12,1.4463711811454507,0.7700086168327229,0.46762724059330596,2.510301094416655,1.0364673876087356,0.587114314727417
site1/,13,1.4464677575484035,0.7772972438069943,0.4626238713233237,2.5133001619084876,1.0697468843283215,0.5743656485837316
site1/,14,1.446474370375021,0.7891936995707706,0.4544018782951821,2.516080397122229,1.0578654694360579,0.5795581609212515
site1/,15,1.446652625233035,0.807329820941348,0.4419324951549452,2.516080397122229,1.0918828012573139,0.5660381907882767
